"","id","title","date","type","chapter_name","chapter_state","chapter_type","number_volunteers","total_weight","area_cleaned","cleanup_duration","location_name","location_country","location_state","cigarette_butts_number_837","plastic_bottles_beverage_number_822","plastic_bags_shopping_grocery_number_820","plastic_straws_number_832","plastic_forks_knives_spoons_number_827","plastic_cups_number_825","foam_cups_number_824","foam_take_out_food_containers_number_834","plastic_lids_yogurt_lids_coffee_lids_etc_number_829","plastic_food_wrappers_candy_chip_bags_etc_number_826","balloons_number_889","disinfectant_wipes_number_2216","latex_gloves_number_2217","single_use_mask_with_filter_number_2218","reusable_cloth_mask_number_2219","reusable_gloves_number_2220","single_use_surgical_mask_number_2221","foam_fragments_larger_than_a_dime_number_1840","foam_fragments_smaller_than_a_dime_number_842","plastic_fragments_larger_than_a_dime_number_1841","plastic_fragments_smaller_than_a_dime_number_843","nurdles_small_pre_production_plastic_pellets_number_844","x6_pack_holders_number_819","plastic_bags_other_zip_lock_trash_etc_number_821","plastic_bottle_caps_rings_number_823","juice_boxes_number_828","plates_foam_number_830","plates_plastic_number_831","plastic_stirrers_number_833","take_out_food_containers_plastic_number_835","plastic_cigarette_lighters_number_838","plastic_cigar_tips_number_839","plastic_tobacco_packaging_wrap_number_840","vape_cartridges_number_2452","single_use_weed_containers_number_2453","diapers_number_846","syringes_number_847","tampons_tampon_applicators_number_848","toothbrushes_number_849","toothpicks_floss_number_850","bait_bags_containers_number_852","buoys_floats_number_853","large_foam_pieces_number_2454","fishing_line_1_yard_1_piece_number_854","hooks_sinkers_lures_number_855","light_sticks_number_856","nets_number_857","pots_and_traps_number_858","rope_1_yard_1_piece_number_859","plastic_bottles_non_beverage_like_bleach_cleaners_oil_etc_number_862","foam_coolers_number_863","shotgun_wads_number_2455","plastic_film_wrapper_non_food_or_unknown_number_864","zip_ties_number_865","dog_poop_bags_number_2456","other_plastic_items_number_1907","paper_bags_number_867","paper_cigarette_boxes_number_868","paper_cups_number_869","paper_wood_fragments_pieces_number_870","paper_napkins_number_871","paper_plates_number_872","paper_straws_number_873","paper_take_out_food_containers_number_874","treated_wood_i_e_pallets_not_driftwood_number_875","wood_coffee_drink_stirrers_number_876","other_paper_wood_items_number_877","metal_bottle_caps_number_879","aluminum_cans_beverage_number_880","cans_other_metal_number_881","metal_fragments_number_882","other_metal_items_number_883","glass_bottles_beverage_number_885","glass_fragments_number_886","other_glass_items_number_887","condoms_number_890","tires_number_891","other_rubber_latex_items_number_892","fireworks_number_894","tarps_number_895","other_items_number_1908","date_of_record","chapter_cid","lat","long","total_items"
"21",4689,"Cleanup on 09/05/2020 at Avila Beach by San Luis Obispo",2020-09-05,"Land","San Luis Obispo","CA","Chapter",3,500,0.5,6,"Avila Beach","US","CA",50,95,5,65,35,40,0,7,60,110,0,10,5,0,7,0,25,16,30,50,10,0,0,35,75,35,5,15,0,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,6,1,0,0,0,2,0,0,10,6,0,7,0,0,0,50,25,0,0,8,6,0,0,27,50,0,0,1,75,100,0,1,0,0,0,1,40,NA,NA,35.179166666667,-120.73666666667,1209
"22",4808,"Cleanup on 09/22/2020 at South Palisades Park by San Luis Obispo",2020-09-22,"Land","San Luis Obispo","CA","Chapter",1,5,0.4,1,"South Palisades Park","US","CA",6,2,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,30,2,0,0,0,0,0,1,2,1,0,0,0,10,5,0,0,0,0,0,0,3,NA,NA,35.16851116,-120.6961441,76
"23",4826,"Cleanup on 09/23/2020 at Avila Beach by San Luis Obispo",2020-09-23,"Land","San Luis Obispo","CA","Chapter",1,1.5,0.75,1,"Avila Beach","US","CA",4,0,0,2,0,2,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,30,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,3,NA,NA,35.179166666667,-120.73666666667,60
"24",5149,"Cleanup on 10/17/2020 at Pismo Beach Pier by San Luis Obispo",2020-10-17,"Land","San Luis Obispo","CA","Chapter",1,0.47,1,1,"Pismo Beach Pier","US","CA",15,1,2,1,2,0,0,1,0,0,0,2,1,0,0,0,0,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,35.138888888889,-120.64333333333,39
"25",5145,"Cleanup on 10/17/2020 at Pismo Beach Pier by San Luis Obispo",2020-10-17,"Land","San Luis Obispo","CA","Chapter",10,1,NA,2,"Pismo Beach Pier","US","CA",15,0,0,1,1,0,0,0,2,7,0,1,0,0,0,0,1,0,4,3,5,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,35.138888888889,-120.64333333333,50
"26",5160,"Cleanup on 10/18/2020 at Pirate's Cove by California Polytechnic State University",2020-10-18,"Land","California Polytechnic State University","CA","Club",1,4,NA,1,"Pirate's Cove","US","CA",36,0,2,0,0,4,0,0,1,6,0,0,0,0,0,0,0,0,0,17,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,18,17,0,0,0,9,13,0,3,0,5,0,0,14,NA,NA,35.176111111111,-120.71583333333,177
"27",5151,"Cleanup on 10/24/2020 at Morro Rock by San Luis Obispo",2020-10-24,"Land","San Luis Obispo","CA","Chapter",1,1,1,0.5,"Morro Rock","US","CA",12,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA,35.371666666667,-120.86444444444,27
"28",5158,"Cleanup on 10/29/2020 at Pirate's Cove by Unaffiliated with a Surfrider Chapter/Club",2020-10-29,"Land","Unaffiliated with a Surfrider Chapter/Club",NA,NA,1,4,NA,1,"Pirate's Cove","US","CA",18,1,0,2,0,3,2,0,2,8,0,0,2,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,11,3,0,0,0,1,0,0,0,0,2,0,0,3,NA,NA,35.176111111111,-120.71583333333,73
"29",5154,"Cleanup on 10/29/2020 at Pirate's Cove by Unaffiliated with a Surfrider Chapter/Club",2020-10-29,"Land","Unaffiliated with a Surfrider Chapter/Club",NA,NA,1,5,NA,1,"Pirate's Cove","US","CA",10,0,0,0,0,6,0,2,0,9,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,1,0,0,2,0,0,0,0,0,0,1,NA,NA,35.176111111111,-120.71583333333,44
"30",5159,"Cleanup on 10/30/2020 at Shell Beach by California Polytechnic State University",2020-10-30,"Land","California Polytechnic State University","CA","Club",1,3,2,1.5,"Shell Beach","US","CA",3,2,1,1,0,1,0,0,1,6,0,1,0,1,1,0,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,8,0,0,0,2,2,0,0,0,0,0,0,0,NA,NA,35.168223,-120.695438,45
"31",5161,"Cleanup on 10/31/2020 at Pirate's Cove by California Polytechnic State University",2020-10-31,"Land","California Polytechnic State University","CA","Club",1,5,NA,1,"Pirate's Cove","US","CA",10,1,2,0,0,0,0,0,0,3,0,4,0,0,0,0,2,5,2,2,7,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,0,0,5,8,0,0,0,0,0,1,0,NA,NA,35.176111111111,-120.71583333333,73
"32",5155,"Cleanup on 10/31/2020 at Pirate's Cove by Unaffiliated with a Surfrider Chapter/Club",2020-10-31,"Land","Unaffiliated with a Surfrider Chapter/Club",NA,NA,1,5,NA,1,"Pirate's Cove","US","CA",8,2,2,1,0,0,0,0,1,3,0,0,1,0,0,0,1,2,1,5,3,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,0,0,0,0,2,0,0,7,2,0,0,0,3,10,0,0,0,0,0,0,0,NA,NA,35.176111111111,-120.71583333333,69
"33",5157,"Cleanup on 10/31/2020 at Morro Strand State Beach by Unaffiliated with a Surfrider Chapter/Club",2020-10-31,"Land","Unaffiliated with a Surfrider Chapter/Club",NA,NA,1,5,NA,1,"Morro Strand State Beach","US","CA",26,1,4,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,1,0,0,1,3,0,0,0,0,0,3,0,0,0,4,0,0,3,NA,NA,35.403333333333,-120.86888888889,74
"34",5150,"Cleanup on 10/31/2020 at Morro Strand State Beach by San Luis Obispo",2020-10-31,NA,"San Luis Obispo","CA","Chapter",NA,NA,NA,NA,"Morro Strand State Beach","US","CA",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,35.403333333333,-120.86888888889,10
