"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type",Environment,"Cleanup Date","Group Name",Adults,Children,People,Pounds,"Distance mi","Area mi","# of bags","Grocery bags (plastic)","Other bags (plastic)","Beverage bottles (glass)","Beverage bottles (plastic)","Beverage cans","Beverage sachets/pouches","Bottle caps (metal)","Bottle caps (plastic)","Cigarette butts","Cups, Plates (foam)","Cups, Plates (paper)","Cups, Plates (plastic)","Food containers (foam)","Food containers (plastic)","Food wrappers (candy, chips, etc.)","Lids (plastic)","Straws/stirrers (plastic)","Utensils (plastic)","Lines, nets, traps, ropes, etc.","Foam dock pieces","Appliances (refrigerators, washers, etc.)","Construction materials",Tires,"6-Pack holders","Foam packaging","Other plastic bottles (oil, bleach, etc.)","Strapping bands",Balloons,Clothing,E-cigarettes,"Electronic waste (phones, batteries)","Footwear (shoes/slippers)","Paper bags","Tobacco products (lighters, cigar tips, wrap)",Toys,"Other plastic waste","Other waste (metal, paper, etc.)",Condoms,"Cotton bud sticks (swabs)",Diapers,"Gloves & masks (PPE)",Syringes,"Tampons & applicators","Plastic/foam pieces","Fishing buoys, pots & traps","Fishing net & pieces","Fishing line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing gear (Clean Swell)","Other plastic/foam packaging","Tobacco packaging/wrap","Other packaging (Clean Swell)","Cigar tips","Cigarette lighters",Fireworks,"Other trash (Clean Swell)","Other tobacco (packaging, lighter, etc.)","Personal hygiene (Clean Swell)","Foam pieces","Glass pieces","Plastic pieces","Total Items Collected"
297880,"San Luis Obispo County, CA, USA","California, USA","United States","35.167585617705, -120.69348631586",land,,2023-09-23,"Earth Inspired",7,,7,22.9,1,0,,,4,2,3,10,,1,4,14,,,1,2,,210,,,,,,,5,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,261
297888,"San Luis Obispo County, CA, USA","California, USA","United States","35.379627689316, -120.86180302192",land,,2023-09-23,"coast cleanup",1,,1,6.7,2,0,,,2,,3,8,,3,2,20,2,1,,,,7,,,3,,,,,,,1,1,,,3,,1,,,,2,,25,,,,,,1,6,,,,,,,,,,,,,,,,,,91
298160,"San Luis Obispo County, CA, USA","California, USA","United States","35.435206736471, -120.8883189318",land,,2023-09-23,,2,,2,0.175,0.011219311065095,0,,,,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,6
298469,"San Luis Obispo County, CA, USA","California, USA","United States","35.548047362621, -120.70635600268",land,,2023-09-24,"Troop 45107",9,,9,4.198,0.12453482853772,0,,1,,6,,,,23,,39,,,,,2,29,3,20,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,126
298627,"San Luis Obispo County, CA, USA","California, USA","United States","35.2827524, -120.6596156",land,,2023-09-21,"Rosen SLO",2,,2,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299476,"San Luis Obispo County, CA, USA","California, USA","United States","35.12257553973, -120.63354474718",land,,2023-09-23,"We Like Turtles",5,,5,2.117,0.22068849011637,0,,,,1,2,2,,4,,35,2,,2,,,10,,1,,,,,,,,,,,,1,,,,,,,6,,,,,,,,3,,,,,,,,,,,,,,,,,,69
300676,"San Luis Obispo County, CA, USA","California, USA","United States","35.447458349781, -120.90325092117",land,saltwater,2023-09-23,"ECOSLO & County Parks",20,17,37,23,1,0,4,,15,4,14,8,,13,14,57,,,,,12,69,18,15,5,1,,,5,,,4,2,,,,,,,,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,264
300782,"San Luis Obispo County, CA, USA","California, USA","United States","35.434857356572, -120.88848692342",land,saltwater,2023-09-23,ECOSLO,18,2,20,55,4,0,12,,6,3,6,17,,2,17,35,2,,1,,1,36,6,3,,2,,,12,,,,9,,,,,,,,3,,,,,,1,6,,,273,,,,,,,,,,,,,,,,,,441
300783,"San Luis Obispo County, CA, USA","California, USA","United States","35.185272058022, -120.70332322409",land,freshwater,2023-09-23,ECOSLO,5,,5,38,1,0,3,,1,3,7,18,2,,4,6,2,,1,,2,4,1,1,,,,,,,,1,2,,,1,1,1,,1,2,,45,11,,,,,,,12,,,,,,,,,,,,,,,,,,129
300784,"San Luis Obispo County, CA, USA","California, USA","United States","35.266347694989, -120.68646270948",land,freshwater,2023-09-23,"ECOSLO & County Parks",12,1,13,60,3,0,8,5,22,7,10,21,,36,51,340,,3,1,,46,134,15,8,4,65,,,2,,,3,,1,13,3,1,12,,,,1,,,1,,1,,,,1012,,,,,,,,,,,,,,,,,,1818
